feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,log,1.0,0.5,0.0,203.86915449806304,0.8748256254206028,55.02479261264564,60.19772244294745
A,15,10,115,log,1.0,0.1,1.0,6.652768113693606,0.8674436291770184,16.554749008986082,21.305003891924695
A,15,10,115,log,1.0,0.5,0.5,114.66192823422895,0.8636359226770981,47.44667198311815,52.79607534444368
A,15,10,115,log,1.0,0.5,0.75,72.83792279886788,0.8504879472845008,41.109707653438406,46.77699085994128
A,15,10,115,log,1.5,0.0,0.0,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.0,0.5,1.0,32.74403823755889,0.8488863810222085,31.79767178954227,37.627383766360715
A,15,10,115,log,1.5,0.0,0.5,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.0,0.75,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.0,1.0,5.025110815668021,0.8728269003797398,13.75522515702716,17.64545114769468
A,15,10,115,log,1.5,0.05,0.0,13.642297900522356,0.8743245459579981,22.2859708345088,27.910600443860385
A,15,10,115,log,1.5,0.05,0.75,7.263252739525318,0.8718045222192762,17.009445443082562,22.004893197991713
A,15,10,115,log,1.5,0.05,0.5,9.029593276129095,0.872955253325246,18.639262531566462,23.970706037915175
A,15,10,115,log,1.5,0.1,0.0,32.753317456849196,0.8744410435211926,32.08801904134853,37.59792874018043
A,15,10,115,log,1.5,0.05,1.0,5.971182139007789,0.8698411491851201,15.702519027471585,20.202745666821375
A,15,10,115,log,1.5,0.1,0.5,18.269977264676836,0.8715969784677613,25.330419903091972,31.09365159799044
A,15,10,115,log,1.5,0.1,0.75,12.663028886486433,0.868024103554446,21.61765074538354,27.33816280353641
A,15,10,115,log,1.5,0.1,1.0,8.530246511808892,0.8612140020634751,18.33850485237594,23.614683975518354
A,15,10,115,log,1.5,0.5,0.0,351.957988733826,0.8747710283944921,61.59892568951484,66.97254865904722
A,15,10,115,log,1.5,0.5,0.5,214.28474537531343,0.8588481561433211,55.04720628143343,60.537371418567396
A,15,10,115,log,1.5,0.5,0.75,138.27556840295085,0.849196070960686,49.23401754386129,54.87901960761601
A,15,10,115,log,1.5,0.5,1.0,62.06028967673755,0.8488863810222085,40.0071120624559,45.622568171550974
A,15,10,115,identity,0.1,0.0,0.0,6.587996160173643,0.8349091433921872,16.101103840938947,19.727316496733707
A,15,10,115,identity,0.1,0.0,0.75,6.587996160173643,0.8349091433921872,16.101103840938947,19.727316496733707
A,15,10,115,identity,0.1,0.0,0.5,6.587996160173643,0.8349091433921872,16.101103840938947,19.727316496733707
A,15,10,115,identity,0.1,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.1,0.0,1.0,6.587996160173643,0.8349091433921872,16.101103840938947,19.727316496733707
A,15,10,115,identity,0.1,0.05,0.5,,,,
A,15,10,115,identity,0.1,0.05,0.75,,,,
A,15,10,115,identity,0.1,0.05,1.0,,,,
A,15,10,115,identity,0.1,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.1,0.1,0.5,,,,
A,15,10,115,identity,0.1,0.1,0.75,,,,
A,15,10,115,identity,0.1,0.1,1.0,,,,
