feature_set,window_size,n_components,clipping_threshold,n_estimators,max_depth,min_samples_leaf,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,100,10.0,10,sqrt,4.482973749117354,0.8783414817257077,10.13278736924831,13.772380443744808
A,15,10,115,100,10.0,10,1.0,4.471838920444883,0.8814955237480941,9.04561841042277,13.595153075994668
A,15,10,115,100,,1,sqrt,4.2250292718773075,0.8778282332359624,9.458820139952566,13.610691902283202
A,15,10,115,100,,1,1.0,4.549309135047506,0.8755333644291354,9.298708320313915,13.91718151171228
A,15,10,115,100,,5,sqrt,4.212588961048079,0.8795006947750219,9.414920299083002,13.532322641762146
A,15,10,115,100,,5,1.0,4.476689165578831,0.8776939006152403,9.16249237437051,13.76178300622765
A,15,10,115,100,,10,sqrt,4.179350275503557,0.8799730864533547,9.531014527320895,13.54322735694438
A,15,10,115,100,,10,1.0,4.474909539381066,0.8791587403275827,9.101055365629458,13.684514106527416
A,15,10,115,200,5.0,1,sqrt,6.295981871121555,0.8603069087597366,13.36689520025953,16.170329058887308
A,15,10,115,200,5.0,1,1.0,4.725106435315886,0.8782786535404137,9.688488651280448,13.95033946197887
A,15,10,115,200,5.0,5,sqrt,6.324329344613892,0.860686157578237,13.367214944870636,16.172626192805748
A,15,10,115,200,5.0,5,1.0,4.724949657896589,0.8783670180534073,9.688937927282666,13.950005445166877
A,15,10,115,200,5.0,10,sqrt,6.326047246155641,0.8595755107251479,13.318456312098448,16.145634992583688
A,15,10,115,200,5.0,10,1.0,4.723948193418446,0.8783707764206952,9.68830641674777,13.948666052460023
A,15,10,115,200,10.0,1,sqrt,4.524763923478758,0.8791043360301117,10.1168372608048,13.759817347050603
A,15,10,115,200,10.0,1,1.0,4.52781688462619,0.8815385662689602,9.046770767092656,13.611196648634092
A,15,10,115,200,10.0,5,sqrt,4.506231038933712,0.8791847028538907,10.103739121437552,13.74868527584564
A,15,10,115,200,10.0,5,1.0,4.502286618213996,0.8815340987572726,9.04354212246522,13.60173217320563
A,15,10,115,200,10.0,10,sqrt,4.493826690187658,0.8788294289635067,10.16266239017679,13.774196278431216
A,15,10,115,200,10.0,10,1.0,4.492475629576165,0.8817105649419255,9.035505501298134,13.583452001555273
A,15,10,115,200,,1,sqrt,4.2084971113184135,0.8782545321244244,9.463465341062776,13.59234978995748
A,15,10,115,200,,1,1.0,4.5423744814970775,0.8761169993078051,9.279810532237963,13.882317401170733
A,15,10,115,200,,5,sqrt,4.213724824305368,0.8793292807279848,9.45214503332568,13.536572533768506
A,15,10,115,200,,5,1.0,4.523681375788014,0.8780259017066505,9.15317910107404,13.754054191184466
A,15,10,115,200,,10,sqrt,4.1733194398120785,0.8801939802720404,9.536823015477468,13.528375093795807
A,15,10,115,200,,10,1.0,4.503570506227809,0.8793608239095791,9.09228795519906,13.673036256770876
A,15,10,120,50,5.0,1,sqrt,7.852730854576616,0.8510234281305229,14.510692594664205,17.416557558978027
A,15,10,120,50,5.0,1,1.0,5.946020739444359,0.8696801554131387,10.753191173171448,15.095602702747446
A,15,10,120,50,5.0,5,sqrt,7.955941475431759,0.8510279031102271,14.441888166882856,17.410064910589444
A,15,10,120,50,5.0,5,1.0,5.9457552543258885,0.8696935133371817,10.75403260695768,15.094191701150836
A,15,10,120,50,5.0,10,sqrt,7.844860616862475,0.8505419500896183,14.37322983574862,17.355527393133855
A,15,10,120,50,5.0,10,1.0,5.943523303906023,0.8697227655500279,10.75307608542751,15.09173129728044
A,15,10,120,50,10.0,1,sqrt,5.752836238696948,0.8704043940705685,11.242797509917894,14.978112919735754
A,15,10,120,50,10.0,1,1.0,5.805433833598869,0.8727588930961163,10.090923935370688,14.78314934238947
A,15,10,120,50,10.0,5,sqrt,5.665804912121556,0.870956959566241,11.114521442881903,14.889386348534174
A,15,10,120,50,10.0,5,1.0,5.846745762445653,0.8727153593238451,10.088901577563131,14.76814825670262
A,15,10,120,50,10.0,10,sqrt,5.6487332259624,0.8709903250534821,11.226242675582242,14.956020045036556
A,15,10,120,50,10.0,10,1.0,5.8202377283157,0.8728801879119104,10.080113775470746,14.742547870337711
