feature_set,window_size,n_components,clipping_threshold,max_depth,min_samples_leaf,min_samples_split,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,15,120,5.0,1,2,sqrt,20.129257507628946,0.7500075557285356,15.011215988763619,19.30977963733444
A,15,15,120,5.0,1,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,5.0,1,10,sqrt,20.57529075174497,0.7484486336785414,15.117868472145167,19.423231816675983
A,15,15,120,5.0,1,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,5.0,5,2,sqrt,20.367523283481965,0.7484549603349195,15.132162210645651,19.410242225369007
A,15,15,120,5.0,5,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,5.0,5,10,sqrt,20.367523283481965,0.7484549603349195,15.132162210645651,19.410242225369007
A,15,15,120,5.0,5,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,5.0,10,2,sqrt,20.066299924429977,0.7529913345285715,14.93432228520471,19.25484816935299
A,15,15,120,5.0,10,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,5.0,10,10,sqrt,20.066299924429977,0.7529913345285715,14.93432228520471,19.25484816935299
A,15,15,120,5.0,10,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,15,120,10.0,1,2,sqrt,23.862832936375938,0.7981097088789552,13.704390446772996,19.165063382576367
A,15,15,120,10.0,1,2,1.0,13.70025105796778,0.8515843844811828,11.10092377160557,17.093936114159256
A,15,15,120,10.0,1,10,sqrt,15.629567402580232,0.804209805098804,13.62198872865992,18.804560752916405
A,15,15,120,10.0,1,10,1.0,12.4615092957026,0.8530642427786213,11.040928411077687,16.939167289168626
A,15,15,120,10.0,5,2,sqrt,13.96549138516158,0.814694335211744,13.575865950529224,18.681200081820272
A,15,15,120,10.0,5,2,1.0,10.9390438327866,0.8534639911372844,10.94231328024104,16.71926140595042
A,15,15,120,10.0,5,10,sqrt,13.96549138516158,0.814694335211744,13.575865950529224,18.681200081820272
A,15,15,120,10.0,5,10,1.0,10.9390438327866,0.8534639911372844,10.94231328024104,16.71926140595042
A,15,15,120,10.0,10,2,sqrt,14.088670693436729,0.810270849658291,13.83295933834172,18.991532393093298
A,15,15,120,10.0,10,2,1.0,9.081732328953212,0.8563888904705529,10.756060750910615,16.31435145463977
A,15,15,120,10.0,10,10,sqrt,14.088670693436729,0.810270849658291,13.83295933834172,18.991532393093298
A,15,15,120,10.0,10,10,1.0,9.081732328953212,0.8563888904705529,10.756060750910615,16.31435145463977
A,15,15,120,,1,2,sqrt,33.13403158235982,0.7922335275486465,13.95169949080928,22.127469763479695
A,15,15,120,,1,2,1.0,24.963925435216918,0.8099637557119891,12.499718618342971,20.54862090655152
A,15,15,120,,1,10,sqrt,21.003286344741106,0.8083433991493892,13.201863488188035,20.43599853471586
A,15,15,120,,1,10,1.0,19.107434382418955,0.8179223912772369,12.236644366495902,19.71962531636722
