feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,120,poly,10.0,0.1,0.01,2,133.87893544369402,0.6772106179287146,21.54319736150793,29.052627201300844
A,15,10,120,poly,10.0,0.1,scale,3,39.6794839478851,0.8562341747855475,15.874378507920062,20.24115728705562
A,15,10,120,poly,10.0,0.1,0.01,3,28.01302238466692,0.858387273401061,17.724096927409835,22.86022670582297
A,15,10,125,rbf,0.1,0.01,scale,2,9.581803210719343,0.8415602826897954,13.334592636131612,18.041074681963348
A,15,10,125,rbf,0.1,0.01,scale,3,9.581803210719343,0.8415602826897954,13.334592636131612,18.041074681963348
A,15,10,125,rbf,0.1,0.01,0.01,2,8.140836275687219,0.8516288513986587,12.680977848902756,17.296307767137318
A,15,10,125,rbf,0.1,0.01,0.01,3,8.140836275687219,0.8516288513986587,12.680977848902756,17.296307767137318
A,15,10,125,rbf,0.1,0.1,scale,2,9.576852099483345,0.8415627324538162,13.335441147605636,18.04085228632423
A,15,10,125,rbf,0.1,0.1,scale,3,9.576852099483345,0.8415627324538162,13.335441147605636,18.04085228632423
A,15,10,125,rbf,0.1,0.1,0.01,2,8.139221758862371,0.8516200761358126,12.680794791454066,17.29709415927595
A,15,10,125,rbf,0.1,0.1,0.01,3,8.139221758862371,0.8516200761358126,12.680794791454066,17.29709415927595
A,15,10,125,rbf,1.0,0.01,scale,2,8.14717112090917,0.8605305455346126,10.824645234169193,15.997691803330149
A,15,10,125,rbf,1.0,0.01,scale,3,8.14717112090917,0.8605305455346126,10.824645234169193,15.997691803330149
A,15,10,125,rbf,1.0,0.01,0.01,2,7.57862165078348,0.8626566977277947,11.1960243425693,16.208037902051675
A,15,10,125,rbf,1.0,0.01,0.01,3,7.57862165078348,0.8626566977277947,11.1960243425693,16.208037902051675
A,15,10,125,rbf,1.0,0.1,scale,2,8.13500392979448,0.8605291948970629,10.823466631971376,15.99499936031982
A,15,10,125,rbf,1.0,0.1,scale,3,8.13500392979448,0.8605291948970629,10.823466631971376,15.99499936031982
A,15,10,125,rbf,1.0,0.1,0.01,2,7.57635617647338,0.8626716398205367,11.195440357879152,16.208013508663903
A,15,10,125,rbf,1.0,0.1,0.01,3,7.57635617647338,0.8626716398205367,11.195440357879152,16.208013508663903
A,15,10,125,rbf,10.0,0.01,scale,2,8.785567033996381,0.8638927859542115,10.342380877294724,15.947082575881804
