feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,15,120,log,0.5,0.5,0.5,47.55083835510746,0.8619103143160094,35.0585867146175,41.04377982017554
A,15,15,120,log,0.5,0.5,1.0,16.823553691094396,0.8427957247040462,22.756572615489294,29.346438555718244
A,15,15,120,log,1.0,0.0,0.0,5.635165430282036,0.8650346481848228,13.430079588159368,18.104393387031802
A,15,15,120,log,1.0,0.0,0.5,5.635165430282036,0.8650346481848228,13.430079588159368,18.104393387031802
A,15,15,120,log,1.0,0.1,0.0,22.9006785286935,0.8673478419938817,26.505930948935266,32.65126704115297
A,15,15,120,log,1.0,0.0,1.0,5.635165430282036,0.8650346481848228,13.430079588159368,18.104393387031802
A,15,15,120,log,1.0,0.1,0.5,13.834961119009245,0.864953482318078,21.367483837215474,27.48668623216353
A,15,15,120,log,1.0,0.1,1.0,7.731956555707041,0.8596438465973504,16.685984854057143,22.131002957464226
A,15,15,120,log,1.0,0.5,0.0,259.47082226815826,0.8676509729654972,56.56224721672604,62.15424749801298
A,15,15,120,log,1.0,0.5,0.5,144.19987197761554,0.8563968041676041,48.766304246620244,54.555843295164934
A,15,15,120,log,1.0,0.5,1.0,40.1044975882037,0.8412656739361346,32.636445272643435,38.97901397176547
A,15,15,120,log,1.5,0.0,0.0,5.650153433627135,0.8649484946911035,13.431125178896446,18.11552001019141
A,15,15,120,log,1.5,0.0,0.5,5.650153433627135,0.8649484946911035,13.431125178896446,18.11552001019141
A,15,15,120,log,1.5,0.0,1.0,5.650153433627135,0.8649484946911035,13.431125178896446,18.11552001019141
A,15,15,120,log,1.5,0.1,0.0,39.75942268454667,0.8673275650381443,32.995223407744106,38.94087653738133
A,15,15,120,log,1.5,0.1,0.5,22.002780577992613,0.8640127253385869,26.024948869104257,32.28630984405652
A,15,15,120,log,1.5,0.1,1.0,10.028514527252279,0.8537198663203449,18.627004398107903,24.546352543524403
A,15,15,120,log,1.5,0.5,0.0,455.21029822548496,0.8675901466798891,63.31284941046348,69.11801118720443
A,15,15,120,log,1.5,0.5,0.5,274.07497931169917,0.8518199179340481,56.57522308822091,62.50762415450853
A,15,15,120,log,1.5,0.5,1.0,76.91219857651029,0.8412656739361346,41.03947550720395,47.158708554703885
A,15,15,125,log,0.1,0.0,0.0,6.179045442011497,0.8573135907281983,13.143315113281115,18.691866166430565
A,15,15,125,log,0.1,0.0,0.5,6.179045442011497,0.8573135907281983,13.143315113281115,18.691866166430565
A,15,15,125,log,0.1,0.0,1.0,6.179045442011497,0.8573135907281983,13.143315113281115,18.691866166430565
A,15,15,125,log,0.1,0.1,0.0,6.77129119607371,0.8583327161903709,14.265971647463264,20.03496127161792
A,15,15,125,log,0.1,0.1,0.5,6.46709369584064,0.8577433993603247,13.880129881061867,19.541872042104206
A,15,15,125,log,0.1,0.1,1.0,6.2857328444960725,0.8567483185283115,13.538504642083172,19.11098900446992
A,15,15,125,log,0.1,0.5,0.0,14.127815980843405,0.8600573521247036,20.589177996640636,27.08257868086277
A,15,15,125,log,0.1,0.5,0.5,9.87660919574219,0.8582518457460493,17.578189303115046,23.8422742627909
A,15,15,125,log,0.1,0.5,1.0,7.09965869032308,0.8555405733094966,15.06410684516707,20.85814335609286
A,15,15,125,log,0.5,0.0,0.0,6.405906558444499,0.856325655182682,13.09696503732231,18.83353838073652
A,15,15,125,log,0.5,0.0,0.5,6.405906558444499,0.856325655182682,13.09696503732231,18.83353838073652
A,15,15,125,log,0.5,0.0,1.0,6.405906558444499,0.856325655182682,13.09696503732231,18.83353838073652
A,15,15,125,log,0.5,0.1,0.0,13.157642716341886,0.8589795557181565,19.631844417232536,26.24884790282411
A,15,15,125,log,0.5,0.1,0.5,9.661259910397709,0.8570454571493105,17.031449883171582,23.430619023538053
A,15,15,125,log,0.5,0.1,1.0,7.254445777001375,0.8549117614256849,14.812234371521583,20.778277583203447
A,15,15,125,log,0.5,0.5,0.0,112.58210046439235,0.859760484568217,44.52910884264677,50.53082042192564
A,15,15,125,log,0.5,0.5,0.5,58.297524058575576,0.8541829183053865,35.950012052856195,42.40685400341761
A,15,15,125,log,0.5,0.5,1.0,20.317388291682356,0.8354116804787841,23.284495376809083,30.491541030998953
A,15,15,125,log,1.0,0.0,0.0,6.4546722951518065,0.8561391914641376,13.091048159213837,18.86319618145061
A,15,15,125,log,1.0,0.0,0.5,6.4546722951518065,0.8561391914641376,13.091048159213837,18.86319618145061
A,15,15,125,log,1.0,0.0,1.0,6.4546722951518065,0.8561391914641376,13.091048159213837,18.86319618145061
A,15,15,125,log,1.0,0.1,0.0,27.590466672579463,0.8592503995564821,27.139939430700384,33.82542792272988
A,15,15,125,log,1.0,0.1,0.5,16.531993123287442,0.8567972412200062,21.78095377926901,28.556886043475497
A,15,15,125,log,1.0,0.1,1.0,9.080554829757515,0.8512936635486386,16.746197353095788,23.075231227529763
A,15,15,125,log,1.0,0.5,0.0,330.5369019118653,0.8596451213184693,58.00647500745818,64.03023631232034
A,15,15,125,log,1.0,0.5,0.5,181.46051359981396,0.8490304603271367,50.003136434287086,56.24290514015421
A,15,15,125,log,1.0,0.5,1.0,49.248014256473496,0.8338931577739253,33.43229116009449,40.2922832501385
A,15,15,125,log,1.5,0.0,0.0,6.472777496503435,0.8560076368883456,13.088868502954238,18.873993178915214
A,15,15,125,log,1.5,0.0,0.5,6.472777496503435,0.8560076368883456,13.088868502954238,18.873993178915214
A,15,15,125,log,1.5,0.0,1.0,6.472777496503435,0.8560076368883456,13.088868502954238,18.873993178915214
