feature_set,window_size,n_components,clipping_threshold,confidence_threshold,penalizer,l1_ratio,fit_intercept,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,20,115,0.3,0.0,0.0,True,,,,
A,20,20,115,0.3,0.0,0.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.3,0.0,0.5,True,,,,
A,20,20,115,0.3,0.0,0.5,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.3,0.0,1.0,True,,,,
A,20,20,115,0.3,0.0,1.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.3,0.1,0.0,True,,,,
A,20,20,115,0.3,0.1,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.3,0.1,0.5,True,,,,
A,20,20,115,0.3,0.1,0.5,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,20,115,0.3,0.1,1.0,True,,,,
A,20,20,115,0.3,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,20,115,0.3,1.0,0.0,True,,,,
A,20,20,115,0.3,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.3,1.0,0.5,True,,,,
A,20,20,115,0.3,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.3,1.0,1.0,True,315.04136413193476,0.8332949637214551,39.65923527954091,49.261265361025934
A,20,20,115,0.3,1.0,1.0,False,,,,
A,20,20,115,0.5,0.0,0.0,True,,,,
A,20,20,115,0.5,0.0,0.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.5,0.0,0.5,True,,,,
A,20,20,115,0.5,0.0,0.5,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.5,0.0,1.0,True,,,,
A,20,20,115,0.5,0.0,1.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,20,115,0.5,0.1,0.0,True,,,,
A,20,20,115,0.5,0.1,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.5,0.1,0.5,True,,,,
A,20,20,115,0.5,0.1,0.5,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,20,115,0.5,0.1,1.0,True,,,,
A,20,20,115,0.5,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,20,115,0.5,1.0,0.0,True,,,,
A,20,20,115,0.5,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.5,1.0,0.5,True,,,,
A,20,20,115,0.5,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,20,115,0.5,1.0,1.0,True,2470.6698256466384,0.6750835104842674,30.65871889000887,42.05629617503523
A,20,20,115,0.5,1.0,1.0,False,,,,
A,20,20,115,0.95,0.0,0.0,True,,,,
A,20,20,115,0.95,0.0,0.0,False,,,,
A,20,20,115,0.95,0.0,0.5,True,,,,
A,20,20,115,0.95,0.0,0.5,False,,,,
A,20,20,115,0.95,0.0,1.0,True,,,,
A,20,20,115,0.95,0.0,1.0,False,,,,
A,20,20,115,0.95,0.1,0.0,True,,,,
A,20,20,115,0.95,0.1,0.0,False,,,,
A,20,20,115,0.95,0.1,0.5,True,,,,
A,20,20,115,0.95,0.1,0.5,False,,,,
A,20,20,115,0.95,0.1,1.0,True,,,,
A,20,20,115,0.95,0.1,1.0,False,,,,
A,20,20,115,0.95,1.0,0.0,True,,,,
A,20,20,115,0.95,1.0,0.0,False,,,,
A,20,20,115,0.95,1.0,0.5,True,,,,
A,20,20,115,0.95,1.0,0.5,False,,,,
A,20,20,115,0.95,1.0,1.0,True,,,,
A,20,20,115,0.95,1.0,1.0,False,,,,
A,20,20,120,0.3,0.0,0.0,True,,,,
A,20,20,120,0.3,0.0,0.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,20,120,0.3,0.0,0.5,True,,,,
A,20,20,120,0.3,0.0,0.5,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,20,120,0.3,0.0,1.0,True,,,,
A,20,20,120,0.3,0.0,1.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,20,120,0.3,0.1,0.0,True,,,,
A,20,20,120,0.3,0.1,0.0,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,20,120,0.3,0.1,0.5,True,,,,
A,20,20,120,0.3,0.1,0.5,False,5269.42556398305,0.5,89.72750775219433,97.1334458403528
A,20,20,120,0.3,0.1,1.0,True,,,,
A,20,20,120,0.3,0.1,1.0,False,4985.185934270506,0.5,87.79787234042553,95.49973945727088
A,20,20,120,0.3,1.0,0.0,True,,,,
A,20,20,120,0.3,1.0,0.0,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,20,120,0.3,1.0,0.5,True,,,,
A,20,20,120,0.3,1.0,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
