feature_set,window_size,n_components,clipping_threshold,distribution,method,tdf,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,15,120,t,aic,5,0.95,4730.305145030969,0.5587058502780673,32.92027966125886,47.44599032130027
A,20,15,125,gamma,em,3,0.3,3608.7458418176634,0.5659343922628438,29.60585505899943,45.78240891549173
A,20,15,125,gamma,em,3,0.5,3907.6981808082114,0.5631707314546136,30.009645459551052,46.26940588618258
A,20,15,125,gamma,em,3,0.95,4745.12045350383,0.5567455146628386,30.944529077204614,47.401768916463645
A,20,15,125,gamma,em,5,0.3,3608.7458418176634,0.5659343922628438,29.60585505899943,45.78240891549173
A,20,15,125,gamma,em,5,0.5,3907.6981808082114,0.5631707314546136,30.009645459551052,46.26940588618258
A,20,15,125,gamma,em,5,0.95,4745.12045350383,0.5567455146628386,30.944529077204614,47.401768916463645
A,20,15,125,gamma,aic,3,0.3,3529.5103179432904,0.5668301975734404,29.5160583546375,45.666455458777925
A,20,15,125,gamma,aic,3,0.5,3842.9667060505294,0.563577666150328,29.923289167512422,46.171901548247504
A,20,15,125,gamma,aic,3,0.95,4692.8445082351045,0.5571252251233447,30.904683244383005,47.343970353585334
A,20,15,125,gamma,aic,5,0.3,3529.5103179432904,0.5668301975734404,29.5160583546375,45.666455458777925
A,20,15,125,gamma,aic,5,0.5,3842.9667060505294,0.563577666150328,29.923289167512422,46.171901548247504
A,20,15,125,gamma,aic,5,0.95,4692.8445082351045,0.5571252251233447,30.904683244383005,47.343970353585334
A,20,15,125,gaussian,em,3,0.3,3887.250342095889,0.563516652442854,29.97045898139624,46.23279082080977
A,20,15,125,gaussian,em,3,0.5,4191.18908198093,0.5606213110067026,30.309499606350613,46.6608882374315
A,20,15,125,gaussian,em,3,0.95,4997.7564511140845,0.554750540040913,31.08878854283292,47.60988866983953
A,20,15,125,gaussian,em,5,0.3,3887.250342095889,0.563516652442854,29.97045898139624,46.23279082080977
A,20,15,125,gaussian,em,5,0.5,4191.18908198093,0.5606213110067026,30.309499606350613,46.6608882374315
