feature_set,window_size,n_components,clipping_threshold,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,200,0.1,3,0.8,1.0,1.0,1,2.944990012701595,0.8957580183511421,8.347301475970967,12.240990606239558
A,20,10,115,200,0.1,3,0.8,1.0,1.0,5,2.9444291119623336,0.8956419053748499,8.35184193462509,12.248955919964647
A,20,10,115,200,0.1,3,0.8,1.0,10.0,1,2.936313808145843,0.8958443960666536,8.348882054141056,12.248514349360413
A,20,10,115,200,0.1,3,0.8,1.0,10.0,5,2.9238384716679784,0.8961056722305777,8.319552523671485,12.226751356119893
A,20,10,115,200,0.1,3,1.0,0.8,0.1,1,2.9387656793202384,0.896109427013284,8.374142542275582,12.24370942787914
A,20,10,115,200,0.1,3,1.0,0.8,0.1,5,2.932784815892861,0.8961979048512771,8.358270036709651,12.2347216614024
A,20,10,115,200,0.1,3,1.0,0.8,1.0,1,2.9653957334315795,0.8961707064806467,8.387145750037472,12.258811301262645
A,20,10,115,200,0.1,3,1.0,0.8,1.0,5,2.9514706028412228,0.8964923228941416,8.360115776712561,12.23328364603851
A,20,10,115,200,0.1,3,1.0,0.8,10.0,1,2.94159086119691,0.8965423265689232,8.356695329381049,12.241081493368403
A,20,10,115,200,0.1,3,1.0,0.8,10.0,5,2.9432293708623964,0.8964317479279547,8.34410486815813,12.233835602725437
A,20,10,115,200,0.1,3,1.0,1.0,0.1,1,2.929736544731115,0.8962561465838046,8.340614260086765,12.232158115007731
A,20,10,115,200,0.1,3,1.0,1.0,0.1,5,2.928944907743689,0.8961903702557892,8.34667086812232,12.234865210373624
A,20,10,115,200,0.1,3,1.0,1.0,1.0,1,2.9260981122473644,0.8959695312179683,8.351031902339573,12.237162013237269
A,20,10,115,200,0.1,3,1.0,1.0,1.0,5,2.934949117689297,0.8957546047256715,8.369054936155596,12.252960535061458
A,20,10,115,200,0.1,3,1.0,1.0,10.0,1,2.9560178783573035,0.8958426216118909,8.370161188157976,12.268600815648824
A,20,10,115,200,0.1,3,1.0,1.0,10.0,5,2.961800577367001,0.8958874097837908,8.386595386470152,12.290506179676774
A,20,10,115,200,0.1,5,0.8,0.8,0.1,1,3.1753639349073928,0.8915353239725426,8.38679771408668,12.458535678522114
A,20,10,115,200,0.1,5,0.8,0.8,0.1,5,3.1745130953633085,0.8916123739274813,8.373373710278178,12.429397019267142
A,20,10,115,200,0.1,5,0.8,0.8,1.0,1,3.174832632825697,0.8921975674095213,8.347837416088444,12.415943650560052
A,20,10,115,200,0.1,5,0.8,0.8,1.0,5,3.1415631932224164,0.8923259879824388,8.353208178692281,12.409827410071568
A,20,10,115,200,0.1,5,0.8,0.8,10.0,1,3.124658275090323,0.8928207249293761,8.299288488717872,12.364514623848205
A,20,10,115,200,0.1,5,0.8,0.8,10.0,5,3.120975859327796,0.8926172026532806,8.308226020951295,12.3708338915793
A,20,10,115,200,0.1,5,0.8,1.0,0.1,1,3.221818689324233,0.8915107060510096,8.375872095195126,12.48455192716802
A,20,10,115,200,0.1,5,0.8,1.0,0.1,5,3.164697299470253,0.8918450548096744,8.340106653954042,12.433183018368288
A,20,10,115,200,0.1,5,0.8,1.0,1.0,1,3.196311379942887,0.8914204901049063,8.35926296552365,12.474073088643626
A,20,10,115,200,0.1,5,0.8,1.0,1.0,5,3.166410742394551,0.8922286190284188,8.368805787004863,12.466091212785413
A,20,10,115,200,0.1,5,0.8,1.0,10.0,1,3.149330974743555,0.8918913814815961,8.330964628740631,12.432856387201968
A,20,10,115,200,0.1,5,0.8,1.0,10.0,5,3.16526440516804,0.8924857586387936,8.31941774135276,12.412096146820236
A,20,10,115,200,0.1,5,1.0,0.8,0.1,1,3.047157788425693,0.8938469181419346,8.274597229774338,12.311336293020029
A,20,10,115,200,0.1,5,1.0,0.8,0.1,5,3.1072444317686925,0.8937681352088322,8.283326092307318,12.3322066468794
A,20,10,115,200,0.1,5,1.0,0.8,1.0,1,3.088058390868885,0.8931143075144921,8.313424631453547,12.351155049106886
A,20,10,115,200,0.1,5,1.0,0.8,1.0,5,3.0917931307887607,0.8934368197733603,8.306557986673093,12.340873626265497
A,20,10,115,200,0.1,5,1.0,0.8,10.0,1,3.079307730563625,0.8935039651750303,8.25269469042127,12.292124170249505
A,20,10,115,200,0.1,5,1.0,0.8,10.0,5,3.055945729684108,0.8940839586535422,8.23397290430942,12.263624352808668
A,20,10,115,200,0.1,5,1.0,1.0,0.1,1,3.124037263335706,0.8927230092994318,8.306000354190362,12.387350578231354
A,20,10,115,200,0.1,5,1.0,1.0,0.1,5,3.119155066086816,0.892965030553872,8.303141712067305,12.364129986474724
A,20,10,115,200,0.1,5,1.0,1.0,1.0,1,3.1070809451909427,0.8933398222599006,8.278125971890455,12.353664055727094
A,20,10,115,200,0.1,5,1.0,1.0,1.0,5,3.1329944940612013,0.8927367191285109,8.302646823973085,12.390611934073917
A,20,10,115,200,0.1,5,1.0,1.0,10.0,1,3.115488370482608,0.8931884702697968,8.270671816121013,12.363205732803902
A,20,10,115,200,0.1,5,1.0,1.0,10.0,5,3.0802803691472347,0.8940371749028332,8.257686750528155,12.339745046114984
A,20,10,115,300,0.05,3,0.8,0.8,0.1,1,2.926894941874129,0.8965825356970727,8.354986749889768,12.224494404434864
A,20,10,115,300,0.05,3,0.8,0.8,0.1,5,2.931809520151566,0.8964171190199723,8.358124102998506,12.225678911318775
A,20,10,115,300,0.05,3,0.8,0.8,1.0,1,2.938028398443955,0.8961635993831122,8.370491042384582,12.241332342859875
